,id,url,title,description,theme,publisher,keywords
0,crime-recorded-by-police-by-selected-offence-groups-in-bristol-by-ward@bristol,https://data.opendatasoft.com/explore/dataset/crime-recorded-by-police-by-selected-offence-groups-in-bristol-by-ward@bristol/information/,Crime (recorded by Police) by selected offence groups in Bristol (by Ward),"<p>Burglary and violent &amp; sexual offence incidents against the total number of crimes reported to the police. Provided at ward level and expressed as a rate per 1,000 of the ward population.</p>",['Safety'],Bristol City Council Strategic Intelligence,"['Burglary', 'Crime', 'JSNA', 'Offences', 'Sexual       ', 'Stolen', 'Theft', 'Ward']"
1,population-estimates-2011-2020-by-five-year-age-band-and-sex-bristol@bristol,https://data.opendatasoft.com/explore/dataset/population-estimates-2011-2020-by-five-year-age-band-and-sex-bristol@bristol/information/,Population Estimates 2011-2020 by five year age band and sex (Bristol),"<p>The estimated resident population of an area includes all those people who usually live there, including students at their term time address.
<p>Arriving international migrants are included if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year.</p></p>",['Population'],Bristol City Council Strategic Intelligence,"['population', 'by age']"
2,population-estimates-mid-2020-by-five-year-age-band-and-sex-2016-ward@bristol,https://data.opendatasoft.com/explore/dataset/population-estimates-mid-2020-by-five-year-age-band-and-sex-2016-ward@bristol/information/,Population Estimates Mid-2020 by Five Year Age Band and Sex (by Ward),"<p>The estimated resident population of an area includes all those people who usually live there, including students at their term time address.<p>Arriving international migrants are included if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year.</p></p>",['Population'],Bristol City Council Strategic Intelligence,"['Population', 'Estimate', 'Age', 'Sex', 'Ward']"
3,bibliotheques-prets-par-site-2020@cc-lacqorthez-data64,https://data.opendatasoft.com/explore/dataset/bibliotheques-prets-par-site-2020@cc-lacqorthez-data64/information/,Bibliothèques - Prêts entre site (2020),"<p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:12pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Raisons de la production de ces données : </span><span style='background-color: transparent; font-family: ""Proxima Nova"", sans-serif; font-size: 11pt; white-space: pre-wrap;'>L’objectif est d’avoir une vue d’ensemble sur les mouvements des documents sur tout le territoire de la communauté de communes. Quels sont les centres les plus demandeurs ? Les plus pourvoyeurs ?</span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:11pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><br/></span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:12pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Contenu des données : </span><span style='background-color: transparent; font-family: ""Proxima Nova"", sans-serif; font-size: 11pt; white-space: pre-wrap;'>Les sites émetteurs et récepteurs des prêts, inscrits par le code INSEE de la commune, permettent de voir les mouvements inter communes. De plus, le nombre de femmes et hommes, enfants et adultes, ainsi que celui de collectivités permettent de voir le profil des demandeurs.</span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:11pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><br/></span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:12pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Processus de collecte : </span><span style='background-color: transparent; font-family: ""Proxima Nova"", sans-serif; font-size: 11pt; white-space: pre-wrap;'>Les données sont collectées dans les fichiers informatiques de la bibliothèque : dès qu’un document est emprunté, il est renseigné dans un fichier</span></p>","['Culture, Patrimoine, Loisirs']",CC Lacq-Orthez,"['Médiathèque', 'Bibliothèque', 'Echange', 'Emprunt', 'ChallengeData']"
4,donnees-hospitalieres-relatives-a-lepidemie-de-covid-19-en-france0@lafibre64-data64,https://data.opendatasoft.com/explore/dataset/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19-en-france0@lafibre64-data64/information/,Données hospitalières relatives à l'épidémie de COVID-19 dans les Pyrénées-Atlantiques,"<p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style='color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'>Santé publique France a pour mission d'améliorer et de protéger la santé des populations. Durant la crise sanitaire liée à l'épidémie du COVID-19, Santé publique France se charge de surveiller et comprendre la dynamique de l'épidémie, d'anticiper les différents scénarii et de mettre en place des actions pour prévenir et limiter la transmission de ce virus sur le territoire national.     </span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px; font-weight: 700;"">Les données hospitalières quotidiennes relatives à l'épidémie du COVID-19 par département et sexe du patient</span><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""> : nombre de patients hospitalisés, nombre de personnes actuellement en réanimation ou soins intensifs, nombre cumulé de personnes retournées à domicile, nombre cumulé de personnes décédées.</span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'>Pour certains patients, le sexe n'a pas été identifié dans la base de données. Ce qui peut induire un décalage entre la somme H/F d'un indicateur et le nombre total de cet indicateur.<span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""><br></span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;"">Les code régions et iso 3166-1 des zones ont été rajoutés.<br></span><br></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); font-size: 14px; font-weight: bold;"">Attention : données en cours de constitution. Peut comporter des anomalies ou des donnés manquantes.</span></p>",['Santé'],Santé Publique France,"['coronavirus', 'covid19', 'épidémie', 'pandémie', 'hôpital']"
5,fichier-prenoms-donnes-par-departements-francais-entre-1900-et-2017@82-opendata-occitanie,https://data.opendatasoft.com/explore/dataset/fichier-prenoms-donnes-par-departements-francais-entre-1900-et-2017@82-opendata-occitanie/information/,Fichier Prénoms donnés par départements français  entre 1900 et 2017,"<div class=""deprecation-message""><b>Un jeu de données plus récent est disponible : <a href=""https://public.opendatasoft.com/explore/dataset/demographyref-france-prenoms-departement-millesime/information/"" target=""_blank"">Prénoms donnés en France - Départements</a> ; il contient les données de 1900 à 2019.</b><br/></div><p>Ce jeu de données reprend la fichier des prénoms établi par l'INSEE pour la période 1900-2017.</p><p>Le fichier des prénoms est établi à partir des seuls bulletins de naissance des personnes                         nées en                          						France (métropole et départements d’outre-mer hors Mayotte). En conséquence,                         l’exhaustivité n’est pas garantie sur toute                          						la période, notamment pour les années antérieures à 1946. Les utilisateurs pourront                         donc constater des écarts                          						avec le nombre annuel des naissances évalué par l'Insee. </p><p>Les informations contenues dans le fichier des prénoms sont basées sur les bulletins                         d'état-civil transmis                          						à l’Insee par les officiers d’état civil des communes. Ces bulletins sont eux-mêmes                         établis à partir des déclarations                          						des parents.</p><p>Pour chaque prénom et chaque département, il est indiqué pour chaque année de naissance (de 1900 à 2017)                         et chaque sexe, le nombre de personnes                          						inscrites à l'état civil sous ce prénom. </p><ul><li>                         <strong>Le champ des prénoms retenus</strong>                                               </li></ul><p>Dans les fichiers de l’état civil, en l'occurrence les bulletins de naissance, les                         différents prénoms                          						sont séparés par une espace (ou blanc). Ainsi deux prénoms séparés par un tiret                         constituent un seul prénom composé                         						(exemple : Anne-Laure). Le premier prénom simple ou composé figure en début                         de liste, et c'est celui qui sera                          						retenu après le traitement de la protection de l'anonymat.                                               </p><ul><li>                         <strong>Conditions portant sur les prénoms retenus</strong>                                               </li></ul><ul><li>1. Sur la période allant de 1900 à 1945, le prénom a été attribué au moins 20 fois                         à des personnes de sexe                          						féminin et/ou au moins 20 fois à des personnes de sexe masculin                      </li><li>2. Sur la période allant de 1946 à 2017, le prénom a été attribué au moins 20 fois                         à des personnes de sexe                          						féminin et/ou au moins 20 fois à des personnes de sexe masculin                      </li><li>3. Pour une année de naissance donnée, le prénom a été attribué au moins 3 fois à                         des personnes de sexe                          						féminin ou de sexe masculin                      </li></ul><p>Les effectifs des prénoms ne remplissant pas les conditions 1 et 2 sont regroupés                         (pour chaque sexe et                          						chaque année de naissance) dans un enregistrement dont le champ prénom (PREUSUEL)                         prend la valeur «_PRENOMS_RARES».                          						Les effectifs des prénoms remplissant la condition 2 mais pas la condition 3                         sont regroupés (pour chaque sexe et chaque prénom)                          						dans un enregistrement dont le champ année de naissance n'est pas précisé. </p><ul><li>                         <strong>Précision pour le département de naissance</strong>                                               </li></ul><p>Sur toute la période, le département de naissance (variable DPT) est celui existant                         au moment de la naissance.                          						Ainsi une personne née à Issy-les-Moulineaux en 1949 sera codée en 75 Seine,                         et une personne née en 1971 à Issy-les-Moulineaux                          						sera codée en 92 Hauts-de-Seine.                      </p><p>En effet, de par la loi n° 64-707 du 10/07/1964, il y a eu création des départements                         75 (Paris),                         						78 (Yvelines), 91 (Essonne), 92 (Hauts-de-Seine), 93 (Seine-Saint-Denis), 94                         (Val-de-Marne) et 95 (Val-d'Oise),                          						à partir des anciens départements 75 (Seine) et 78 (Seine-et-Oise), avec une                         date d'effet dans le fichier                          						au 1<sup>er</sup> janvier 1968.                      </p><p>Par ailleurs, les deux départements 2A Corse-du-Sud et 2B Haute-Corse sont regroupés                         (DPT=20, Corse), et il en                          						est de même des départements d'outre-mer qui sont regroupés (DPT=97). En 2017,                         cela concerne les naissances de                          						la Guadeloupe, de la Martinique, de la Guyane et de La Réunion.                      </p>",['Démocratie et citoyenneté'],INSEE,"['Prénoms', 'Département', 'France']"
6,population-estimates-by-gender-nationality-and-region-2010-2022@kapsarc,https://data.opendatasoft.com/explore/dataset/population-estimates-by-gender-nationality-and-region-2010-2022@kapsarc/information/,"Population estimates by gender, nationality, and region","<p>Explore population estimates by gender, nationality, and region from 2010 to 2022. This dataset provides valuable insights into population statistics in various countries.</p>
<div class=""keywords"" style=""display: none;"">People and society, Population, Population Statistics</div>
<div class=""countries"" style=""display: none;"">United States, United Kingdom, Germany</div>Follow <a href=""https://data.kapsarc.org"">https://data.kapsarc.org</a> for timely data to advance Demography research.
​",['Demography'],General Authority for Statistics,"['People and society ', 'Population', 'Population Statistics']"
7,population-estimated-median-age-by-gender-and-nationality-2010-2022@kapsarc,https://data.opendatasoft.com/explore/dataset/population-estimated-median-age-by-gender-and-nationality-2010-2022@kapsarc/information/,Population estimated median age by gender and nationality,"<p>Explore population estimated median age by gender and nationality from 2010 to 2022. This dataset provides valuable insights into demographic trends and projections. Discover how age and nationality influence population dynamics.</p>

<div class=""keywords"" style=""display: none;"">population, estimated, median age, gender, nationality, demographics, trends, projections</div>

<div class=""countries"" style=""display: none;"">People and society, Population, Population Statistics</div><a href=""https://data.kapsarc.org"">https://data.kapsarc.org</a> for timely data to advance Demography research.",['Demography'],General Authority for Statistics,"['Population Statistics', 'Population', 'People and society']"
8,saudi-arabia-employees-15-and-over-by-education-status-nationality-and-sex-2007-@kapsarc,https://data.opendatasoft.com/explore/dataset/saudi-arabia-employees-15-and-over-by-education-status-nationality-and-sex-2007-@kapsarc/information/,"Employees (15 and over) by Education Status, Nationality and Sex","<p>Explore the Saudi Arabia employees dataset detailing education status, nationality, and sex breakdown in 2007. Find insights on employment levels for Males, Females, Non-Saudi, and Saudi workers across various education levels.</p>

<div class=""keywords"" style=""display: none;"">Employment, Labor, Males, Females, Both Genders, Non-Saudi, Saudi, Higher Diploma /MA, Intermediate, Bachelor, Primary, Diploma, Secondary or Equivalent, Total, Doctorate, Illiterate, Read and Write</div>

<div class=""countries"" style=""display: none;"">Saudi Arabia</div><p>Follow <a href=""https://data.kapsarc.org"">data.kapsarc.org</a> for timely data to advance energy economics research.</p><p>All rights reserved to General Authority for statistics © 2016</p><p>Statistical Yearbook -&gt; Labor Market</p>","['Demography', 'Economy']",General Authority for Statistics,"['Employment ', 'Labor']"
9,population-by-age-group-2014-2015@kapsarc,https://data.opendatasoft.com/explore/dataset/population-by-age-group-2014-2015@kapsarc/information/,Population Estimates by Gender and Age Group,"<p>Explore the Population by Age Group dataset for 2014-2015 in Qatar, including gender breakdown and total population figures. Analyze trends and patterns to inform research and policy decisions.</p>

<div class=""keywords"" style=""display: none;"">Age group, Gender, Male, Female, Total, Population</div>

<div class=""countries"" style=""display: none;"">Qatar</div><p>Follow <a href=""https://data.kapsarc.org"">data.kapsarc.org</a> for timely data to advance energy economics research.</p>.",['Demography'],Qatar Planning and Statistics Authority,['Population']
