,id,url,title,description,theme,publisher
0,crime-recorded-by-police-by-selected-offence-groups-in-bristol-by-ward@bristol,https://data.opendatasoft.com/explore/dataset/crime-recorded-by-police-by-selected-offence-groups-in-bristol-by-ward@bristol/information/,Crime (recorded by Police) by selected offence groups in Bristol (by Ward),"<p>Burglary and violent &amp; sexual offence incidents against the total number of crimes reported to the police. Provided at ward level and expressed as a rate per 1,000 of the ward population.</p>",['Safety'],Bristol City Council Strategic Intelligence
1,healthy-life-expectancy-at-birth-2009-to-2015@bristol,https://data.opendatasoft.com/explore/dataset/healthy-life-expectancy-at-birth-2009-to-2015@bristol/information/,Healthy life expectancy at birth 2009 to 2015,"<p>Healthy life expectancy at birth for Bristol, Bath and North East Somerset, South Gloucestershire, and North Somerset. Healthy life expectancy is defined as the average number of years a person would expect to live in good health based on contemporary mortality rates and prevalence of self-reported good health. </p>",['Health & Social Care'],Public Health England
2,population-estimates-2011-2020-by-five-year-age-band-and-sex-bristol@bristol,https://data.opendatasoft.com/explore/dataset/population-estimates-2011-2020-by-five-year-age-band-and-sex-bristol@bristol/information/,Population Estimates 2011-2020 by five year age band and sex (Bristol),"<p>The estimated resident population of an area includes all those people who usually live there, including students at their term time address.
<p>Arriving international migrants are included if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year.</p></p>",['Population'],Bristol City Council Strategic Intelligence
3,population-estimates-mid-2020-by-five-year-age-band-and-sex-2016-ward@bristol,https://data.opendatasoft.com/explore/dataset/population-estimates-mid-2020-by-five-year-age-band-and-sex-2016-ward@bristol/information/,Population Estimates Mid-2020 by Five Year Age Band and Sex (by Ward),"<p>The estimated resident population of an area includes all those people who usually live there, including students at their term time address.<p>Arriving international migrants are included if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year.</p></p>",['Population'],Bristol City Council Strategic Intelligence
4,injep-2012-2017@cc-lacqorthez-data64,https://data.opendatasoft.com/explore/dataset/injep-2012-2017@cc-lacqorthez-data64/information/,INJEP 2012-2017,<p>Données INJEP (Institut national de la jeunesse et de l'éducation populaire) mises à disposition par Ithéa conseil.</p>,"['Territoires, Équipements']",INJEP - Ithéa conseil
5,bibliotheques-prets-par-site-2020@cc-lacqorthez-data64,https://data.opendatasoft.com/explore/dataset/bibliotheques-prets-par-site-2020@cc-lacqorthez-data64/information/,Bibliothèques - Prêts entre site (2020),"<p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:12pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Raisons de la production de ces données : </span><span style='background-color: transparent; font-family: ""Proxima Nova"", sans-serif; font-size: 11pt; white-space: pre-wrap;'>L’objectif est d’avoir une vue d’ensemble sur les mouvements des documents sur tout le territoire de la communauté de communes. Quels sont les centres les plus demandeurs ? Les plus pourvoyeurs ?</span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:11pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><br/></span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:12pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Contenu des données : </span><span style='background-color: transparent; font-family: ""Proxima Nova"", sans-serif; font-size: 11pt; white-space: pre-wrap;'>Les sites émetteurs et récepteurs des prêts, inscrits par le code INSEE de la commune, permettent de voir les mouvements inter communes. De plus, le nombre de femmes et hommes, enfants et adultes, ainsi que celui de collectivités permettent de voir le profil des demandeurs.</span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:11pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><br/></span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:12pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Processus de collecte : </span><span style='background-color: transparent; font-family: ""Proxima Nova"", sans-serif; font-size: 11pt; white-space: pre-wrap;'>Les données sont collectées dans les fichiers informatiques de la bibliothèque : dès qu’un document est emprunté, il est renseigné dans un fichier</span></p>","['Culture, Patrimoine, Loisirs']",CC Lacq-Orthez
6,donnees-hospitalieres-relatives-a-lepidemie-de-covid-19-en-france0@lafibre64-data64,https://data.opendatasoft.com/explore/dataset/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19-en-france0@lafibre64-data64/information/,Données hospitalières relatives à l'épidémie de COVID-19 dans les Pyrénées-Atlantiques,"<p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style='color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'>Santé publique France a pour mission d'améliorer et de protéger la santé des populations. Durant la crise sanitaire liée à l'épidémie du COVID-19, Santé publique France se charge de surveiller et comprendre la dynamique de l'épidémie, d'anticiper les différents scénarii et de mettre en place des actions pour prévenir et limiter la transmission de ce virus sur le territoire national.     </span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px; font-weight: 700;"">Les données hospitalières quotidiennes relatives à l'épidémie du COVID-19 par département et sexe du patient</span><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""> : nombre de patients hospitalisés, nombre de personnes actuellement en réanimation ou soins intensifs, nombre cumulé de personnes retournées à domicile, nombre cumulé de personnes décédées.</span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'>Pour certains patients, le sexe n'a pas été identifié dans la base de données. Ce qui peut induire un décalage entre la somme H/F d'un indicateur et le nombre total de cet indicateur.<span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""><br></span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;"">Les code régions et iso 3166-1 des zones ont été rajoutés.<br></span><br></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); font-size: 14px; font-weight: bold;"">Attention : données en cours de constitution. Peut comporter des anomalies ou des donnés manquantes.</span></p>",['Santé'],Santé Publique France
7,caracteristiques-des-adherents-a-la-mediatheque-la-grand-plage-depuis-2017@ville-de-roubaix,https://data.opendatasoft.com/explore/dataset/caracteristiques-des-adherents-a-la-mediatheque-la-grand-plage-depuis-2017@ville-de-roubaix/information/,Caractéristiques des adhérents de la médiathèque La Grand Plage depuis 2017,"<p><span style=""color: rgb(51, 51, 51);"">Informations et pratiques des adhérents de la médiathèque La Grand Plage de Roubaix depuis 2017. </span><br></p>","['Sport, Loisirs', 'Culture, Patrimoine']",Ville de Roubaix
8,fonds-de-participation-des-habitants-fph-2010-2014@ville-de-roubaix,https://data.opendatasoft.com/explore/dataset/fonds-de-participation-des-habitants-fph-2010-2014@ville-de-roubaix/information/,Fonds de Participation des Habitants (FPH) de Roubaix,"<p>Les Fonds de participation des habitants (FPH) sont issus de la volonté d’associations et d’habitants du Nord – Pas de Calais de recourir à des modalités de financement souples et rapides pour permettre la réalisation de micro-projets dans les quartiers prioritaires de la Politique de la ville.</p>

<p>Institutionnalisés avec le Contrat de plan État – Région 1989-1994, les FPH ont été intégrés aux politiques contractuelles régionales cofinancées par la Ville de Roubaix sur son territoire depuis 1994 avec pour objectifs de :</p>

<ul>
	<li>favoriser les prises d’initiatives de groupes d’habitants, constitués ou non en association ;</li>
	<li>renforcer les échanges entre habitants ;</li>
	<li>promouvoir les capacités individuelles et collectives des habitants à s’organiser, monter des projets et les argumenter ;</li>
	<li>favoriser la réalisation de projets ponctuels d’habitants ayant un impact sur le quartier, et non finançables par les procédures existant par ailleurs ;</li>
	<li>développer l’animation et la solidarité ;</li>
	<li>améliorer le cadre de vie ;</li>
	<li>permettre une meilleure appropriation par la population des valeurs citoyennes.</li>
</ul>

<p>La distinction entre les FPH réservés aux associations et ceux réservés aux habitants a été abandonnée à l’échelle régionale dans le cadres des Contrats urbains de cohésion sociale 2007-2014. Fusionnés, les FPH sont devenus le FPH.</p>

<p>Localement recentré sur cinq Comités d’attribution composés d’habitants bénévoles fonctionnant chacun à l’échelle des mairies de quartiers, le dispositif renouvelé a été expérimenté fin 2009 puis confirmé à partir de 2010 avec succès.</p>

<p>Animé auprès de la population par la Ville de Roubaix, le FPH a été régi par une association dédiée, responsable devant les financeurs institutionnels, les bénévoles et les habitants de sa gestion financière et administrative.</p>

<p>Reconduit dans le cadre des Contrats de ville 2015-2022, le FPH a cédé la place au <a href=""https://opendata.roubaix.fr/explore/dataset/pic_contrat_ville/information/"" target=""_blank"">Projet d’initiative citoyenne (PIC)</a> en 2017.</p>","['Administration, Gouvernement, Finances publiques, Citoyenneté']",Ville de Roubaix
9,les-prets-a-la-grand-plage-en-decembre-2017@ville-de-roubaix,https://data.opendatasoft.com/explore/dataset/les-prets-a-la-grand-plage-en-decembre-2017@ville-de-roubaix/information/,Les prêts à La Grand Plage en décembre 2017,"<p>Historique et caractéristiques des prêts effectués à la bibliothèque en décembre 2017. Ce jeu de données vous permets d'identifier le type d'ouvrage emprunté de manière récurrente, leur temporalité d'acquisition et énormément d'informations complémentaires</p>","['Sport, Loisirs', 'Culture, Patrimoine']",Ville de Roubaix
