,id,url,title,description,theme,publisher,keywords
0,emergency-hospital-admissions-due-to-asthma-for-children-0-to-18-years-in-bristo@bristol,https://data.opendatasoft.com/explore/dataset/emergency-hospital-admissions-due-to-asthma-for-children-0-to-18-years-in-bristo@bristol/information/,Emergency hospital admissions due to asthma for children 0 to 18 years in Bristol (by Ward),"<p>Emergency hospital admissions for children age 0 to 18 years where the primary diagnosis is asthma related. The total number of hospital admissions are provided by ward and also expressed as a rate per 100,000 of the population.</p>",['Health & Social Care'],Bristol City Council Strategic Intelligence,"['Admissions', 'Asthma', 'Children', 'Emergency', 'Hospital', 'JSNA', 'Ward']"
1,premature-mortality-all-causes-in-bristol-2002-2012@bristol,https://data.opendatasoft.com/explore/dataset/premature-mortality-all-causes-in-bristol-2002-2012@bristol/information/,Premature Mortality from All Causes in Bristol (by Ward) 2002-2012,"<p>Premature mortality, under 75 years, for the years 2002 to 2012. Early deaths from all causes, cancer, heart disease, cardiovascular and stroke.</p>",['Health & Social Care'],Bristol City Council Strategic Intelligence,"['Female', 'Male', 'Mortality', 'Premature', 'Ward']"
2,population-estimates-time-series-by-broad-age-band-2016-ward@bristol,https://data.opendatasoft.com/explore/dataset/population-estimates-time-series-by-broad-age-band-2016-ward@bristol/information/,Population Mid-2012 to Mid-2020 by Broad Age Band (by Ward),"<p>The estimated resident population of an area includes all those people who usually live there, including students at their term time address.  <p>Arriving international migrants are included if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year.</p></p>",['Population'],Bristol City Council Strategic Intelligence,"['Population', 'Estimate', 'Age', 'Ward']"
3,bristol-waste-data-annual@bristol,https://data.opendatasoft.com/explore/dataset/bristol-waste-data-annual@bristol/information/,Bristol Waste Data Annual,"<p>This data set reports on Bristol’s performance with regard to submitted DEFRA (Department for Environment, Food and Rural Affairs) data since 2010 -2011. The data set includes information on residual household waste; % household waste sent for reuse, recycling or composting; municipal waste sent to landfill and collected household waste. </p><p>Since April 2018, Bristol Waste Company has also been doing more to support reuse and repair across Bristol, diverting high quality, usable items from the waste stream at our Household Waste Recycling Centres (HWRCs) and into use. Data provided reports on the number of items and tonnages diverted from waste and into reuse. </p>","['Environment', 'Community & Housing']",Bristol Waste Company,"['waste ', 'recycling ', 'Bristol Waste Company']"
4,child-poverty-by-lsoa@bristol,https://data.opendatasoft.com/explore/dataset/child-poverty-by-lsoa@bristol/information/,Child Poverty (LSOA11),<p>Low income families - Children living in families in receipt of Child Tax Credit whose reported income is less than 60 per cent of the median income or in receipt of Income Support or (Income-Based) Job-Seekers Allowance</p>,['Population'],Bristol City Council Strategic Intelligence,"['deprivation', 'poverty', 'children']"
5,emergency-hospital-admissions-due-to-asthma-for-all-ages-in-bristol-by-ward@bristol,https://data.opendatasoft.com/explore/dataset/emergency-hospital-admissions-due-to-asthma-for-all-ages-in-bristol-by-ward@bristol/information/,Emergency hospital admissions due to asthma for all ages in Bristol (by Ward),"<p>Emergency hospital admissions for people of all ages where the primary diagnosis is asthma related. The total number of hospital admissions are provided by ward and also expressed as a rate per 100,000 of the population.</p>",['Health & Social Care'],Bristol City Council Strategic Intelligence,"['Admissions', 'Asthma', 'Emergency', 'Hospital', 'JSNA', 'Ward']"
6,caf-data-donnees-accueil-du-jeune-enfant-2016-2018@cc-lacqorthez-data64,https://data.opendatasoft.com/explore/dataset/caf-data-donnees-accueil-du-jeune-enfant-2016-2018@cc-lacqorthez-data64/information/,CAF data - données accueil du jeune enfant 2016-2018,<p>Données de la Caisses d'Allocations Familiales mises à disposition par Ithéa conseil.</p>,"['Territoires, Équipements']",Caisses d'Allocations Familiales - Ithéa conseil,"[""Caisses d'Allocations Familiales"", 'ithéa conseil']"
7,sirene-v3-consolidee-france@cc-lacqorthez-data64,https://data.opendatasoft.com/explore/dataset/sirene-v3-consolidee-france@cc-lacqorthez-data64/information/,SIRENE V3 consolidée - France,"<p>Retrouvez toutes les entreprises et leurs établissements. La base Sirene® est actualisée tous les jours, elle regroupe environ 30 millions d'établissements en activité ou non. </p><h3><b>IMPORTANT</b></h3><p>La base Sirene contenant des données à caractère personnel, l'Insee attire votre attention sur les obligations légales qui en découlent :</p><ul><li>Le traitement de ces données relève des obligations de déclaration de la Loi 78-17 du 6 janvier 1978 modifiée, dite Loi CNIL : <a href=""https://www.cnil.fr/fr/loi-78-17-du-6-janvier-1978-modifiee"" target=""_blank"">https://www.cnil.fr/fr/loi-78-17-du-6-janvier-1978-modifiee</a></li><li>Selon votre usage du jeu de données, il est de votre responsabilité de tenir compte du statut de diffusion le plus récent de chaque personne physique.</li></ul><p>En effet, l'article A123-96 du code de commerce dispose que :</p><blockquote><p>""Toute personne physique peut demander soit directement lors de ses formalités de création ou de modification, soit par lettre adressée au directeur général de l'Institut national de la statistique et des études économiques, que les informations du répertoire la concernant ne puissent être utilisées par des tiers autres que les organismes habilités au titre de l'article R. 123-224 ou les administrations, à des fins de prospection, notamment commerciale.""</p></blockquote><h3><b>SIRENE BY ODS</b></h3><p>ODS présente une base des établissements consolidée avec les données de son unité légale associée.</p><h4><b>Enrichissements</b></h4><ul><li>ajout des libellés des codes NAF et catégories juridiques;</li><li>ajout des libellés tranches légales et des types de voie;</li><li>ajout des hierarchies administratives (reg/arr/dep/epci);</li><li>ajout de la géolocalisation des établissements via un géocodage BAN;</li><li>changement de certaines abréviations (F/M, O/N, A/C) par le libellé correspondant (sexeunitelegale, etatadministratifunitelegale, caractereemployeurunitelegale, etatadministratifetablissement, etablissementsiege, caractereemployeuretablissement)</li><li>ajout d'un champ ""première ligne d'adressage"" avec la civilité + nom prénom personne de l'unité legale</li><li>ajout d'un champ adresse établissement (concaténation num + type + voie)</li></ul><h4><b>Notes</b></h4><ul><li>les valeurs de ""date de début de l’établissement"" ont été reconstruites à partir d’une ancienne version pour une centaine d’enregistrements dont les valeurs étaient incohérentes.<br/></li></ul><p></p>",['Économie'],INSEE,"['sirene ', 'entreprise', 'etablissement', 'unite legale']"
8,donnees-urgences-hospitalieres-sos-medecins-relatives-a-lepidemie-de-covid-19-en@lafibre64-data64,https://data.opendatasoft.com/explore/dataset/donnees-urgences-hospitalieres-sos-medecins-relatives-a-lepidemie-de-covid-19-en@lafibre64-data64/information/,Données urgences hospitalières - SOS Médécins relatives à l'épidémie de COVID-19 dans les Pyrénées-Atlantiques,"<p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style='color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'>Santé publique France a pour mission d'améliorer et de protéger la santé des populations. Durant la crise sanitaire liée à l'épidémie du COVID-19, Santé publique France se charge de surveiller et comprendre la dynamique de l'épidémie, d'anticiper les différents scénarii et de mettre en place des actions pour prévenir et limiter la transmission de ce virus sur le territoire national.     </span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><font face=""Helvetica Neue, Helvetica, Arial, sans-serif""><span style=""caret-color: rgb(51, 51, 51); font-size: 14px;"">Les données sont à l'échelles départements sur la France métropolitaine et les départements d'outre-mer.</span></font></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style='color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'>Ce jeu de données présentent les données suivantes:</span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px; font-weight: 700;"">Les données quotidiennes de SOS médecins et des urgences hospitalières par département, sexe et tranche d'âge du patient</span><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""> : nombre de passages aux urgences pour suspicion de COVID-19, nombre total de passages aux urgences, nombre d'hospitalisations parmi les passages aux urgences pour suspicion de COVID-19, nombres total d'actes médicaux SOS Médecins pour suspicion de COVID-19, nombres d'actes médicaux SOS Médecins.</span></p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'>À noter que :</p><ul style='margin-top: 0px; margin-bottom: 10px; caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'><li>Le système de déclaration des cas n'est pas exhaustif et le nombre d'établissements déclarant varie au cours du temps ;</li><li>Certains patients, présents dans la base de données hospitalières à un moment donné, sont retirés de la base de données par les établissements de santé lorsque le résultat biologique du patient est négatif par rapport au COVID-19 ; </li><li>Pour certains patients, la classe d'âge n'a pas été identifiée dans la base de données. Ce qui peut induire un décalage entre la somme de toutes les classes d'âge d'un indicateur et le nombre total de cet indicateur ; </li><li>Pour certains patients, le sexe n'a pas été identifié dans la base de données. Ce qui peut induire un décalage entre la somme H/F d'un indicateur et le nombre total de cet indicateur.</li></ul><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""><b>Enrichissement</b></span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;"">les codes iso-3166 et les localisations géographiques ont été rajoutées.</span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""><br></span><span style=""color: rgb(51, 51, 51); font-weight: 700; font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;"">Attention : données en cours de constitution. Peut comporter des anomalies.</span></p>",['Santé'],Santé Publique France,"['covid19', 'coronavirus', 'urgence', 'hôpital', 'épidémie', 'pandémie']"
9,logements-et-logements-sociaux-dans-les-epci@pau-data64,https://data.opendatasoft.com/explore/dataset/logements-et-logements-sociaux-dans-les-epci@pau-data64/information/,Logements et logements sociaux dans les EPCI,"<p class=""MsoNormal"" style=""margin-bottom:7.5pt;text-align:justify""><span style='font-size: 9.5pt; font-family: ""Segoe UI"", sans-serif;'>Dans le cadre de sa
mission de financeur du logement social en France, la CDC,</span><span style=""font-family: Calibri, sans-serif; font-size: 11pt;""> à trave</span><span style=""font-family: Calibri, sans-serif; font-size: 11pt;"">rs la Banque des Territoires, </span><span style='font-family: ""Segoe UI"", sans-serif; font-size: 9.5pt;'>suit et constitue des
données utiles aux acteurs et observateurs cherchant à analyser les évolutions des territoires, l'activité de la construction et le
secteur du logement social.</span></p><p class=""MsoNormal"" style=""margin-bottom:7.5pt;text-align:justify""><span style='font-size: 9.5pt; font-family: ""Segoe UI"", sans-serif;'>Le jeu de données mis à
disposition présente, pour les 8 principaux EPCI de chaque région, des
indicateurs de contexte sur le parc de logement et des informations sur le parc de logement social. <o:p></o:p></span></p><p class=""MsoNormal"" style=""margin-bottom:7.5pt""><span style='font-size: 9.5pt; font-family: ""Segoe UI"", sans-serif;'>Ces données sont issues de l'Insee, de la
base Sit@del2, du répertoire du parc locatif social (RPLS) et de la CDC. Elles sont valorisées dans la publication annuelle l'Atlas du logement et des
territoires (Banques des Territoires), voir référence ci-dessous. <o:p></o:p></span></p><p class=""MsoNormal"" style=""margin-bottom:7.5pt;text-align:justify"">





</p><p class=""MsoNormal"" style=""margin-bottom:7.5pt;text-align:justify""><span style='font-size: 9.5pt; font-family: ""Segoe UI"", sans-serif;'>Les données correspondent aux
années N-2 par rapport à l’année de publication indiquée, excepté le taux de
chômage (T4 N-1) et le taux de pauvreté (N-3). <o:p></o:p></span></p>",['Aménagement'],"INSEE, SDES et CDC ","['parc logement', 'logements sociaux ', 'EPCI', 'Atlas']"
