,dataset_uid,title,description
0,da_cpzn3y@vallourec,Vallourec Women Employment,"<p>Women percentage in the workforce, breakdown by category, from the Registration document.</p><p>Field void means the data is not available or not applicable.</p><p>NAFTA: Canada, Mexico and United States of America.</p>"
1,da_c7y6w3@credivalores-bogota-laburbano,Pensionados RPM-RAIS,<p>Base que contiene el número de pensionados discriminado por sexo para los años 2017 a 2020. Información proporcionada a nivel de fondo. Asofondos y Colpensiones.</p>
2,da_ryo8ko@bristol,Crime (recorded by Police) by selected offence groups in Bristol (by Ward),"<p>Burglary and violent &amp; sexual offence incidents against the total number of crimes reported to the police. Provided at ward level and expressed as a rate per 1,000 of the ward population.</p>"
3,da_037ptl@bristol,Population Estimates 2011-2020 by five year age band and sex (Bristol),"<p>The estimated resident population of an area includes all those people who usually live there, including students at their term time address.
<p>Arriving international migrants are included if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year.</p></p>"
4,da_16qvdx@bristol,Population Estimates Mid-2020 by Five Year Age Band and Sex (by Ward),"<p>The estimated resident population of an area includes all those people who usually live there, including students at their term time address.<p>Arriving international migrants are included if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year.</p></p>"
5,da_if6fl0@credivalores-bogota-laburbano,LEAS - Según sexo,<p>Lugares especiales de alojamiento en Colombia. Fuente DANE.</p>
6,da_g8mpai@jcyl,Actividad de enfermería a nivel de Zona Básica de Salud,"<p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'>Nº de consultas realizadas por profesional de enfermería según la fecha, zona básica de salud, el ámbito, el área, la provincia, la edad y sexo del paciente y el tipo de atención.</p><p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'>La información se presenta agrupada en columnas: Fecha, Código Zona Básica de Salud, Zona Básica de Salud, Ámbito de procedencia, Área, Provincia, Edad, Sexo, Tipo de atención, Nº de Consultas.</p><p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'><a href=""https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/actividad-enfermeria-zbs/1285114728545"" target=""_blank"">Datos Descargables</a></p><p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'>• Frecuencia de actualización: Anual</p>"
7,da_170mue@jcyl,Población de referencia,"<p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'>Ciudadanos con derecho a la asistencia sanitaria en el Servicio de Salud de Castilla y León, con residencia habitual en esta Comunidad Autónoma. Cada registro representa una Tarjeta Sanitaria Individual.</p><p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'>La información se presenta agrupada en columnas: Periodo, Provincia, Área, Ámbito de procedencia, Zona Básica de Salud (Código), Zona Básica de Salud, Sexo, Edad</p><p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'>• Frecuencia de actualización: Anual.</p><p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'><a href=""https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/poblacion-referencia/1285114749493"" target=""_blank"">Datos descargables</a></p>"
8,da_n4jyq9@cc-lacqorthez-data64,Bibliothèques - Prêts entre site (2020),"<p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:12pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Raisons de la production de ces données : </span><span style='background-color: transparent; font-family: ""Proxima Nova"", sans-serif; font-size: 11pt; white-space: pre-wrap;'>L’objectif est d’avoir une vue d’ensemble sur les mouvements des documents sur tout le territoire de la communauté de communes. Quels sont les centres les plus demandeurs ? Les plus pourvoyeurs ?</span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:11pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><br/></span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:12pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Contenu des données : </span><span style='background-color: transparent; font-family: ""Proxima Nova"", sans-serif; font-size: 11pt; white-space: pre-wrap;'>Les sites émetteurs et récepteurs des prêts, inscrits par le code INSEE de la commune, permettent de voir les mouvements inter communes. De plus, le nombre de femmes et hommes, enfants et adultes, ainsi que celui de collectivités permettent de voir le profil des demandeurs.</span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:11pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><br/></span></p><p dir=""ltr"" style=""line-height:1.2;margin-top:0pt;margin-bottom:0pt;""><span style=""font-size:12pt;font-family:'Proxima Nova',sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Processus de collecte : </span><span style='background-color: transparent; font-family: ""Proxima Nova"", sans-serif; font-size: 11pt; white-space: pre-wrap;'>Les données sont collectées dans les fichiers informatiques de la bibliothèque : dès qu’un document est emprunté, il est renseigné dans un fichier</span></p>"
9,da_9ly4ax@cc-lacqorthez-data64,SIRENE V3 consolidée - France,"<p>Retrouvez toutes les entreprises et leurs établissements. La base Sirene® est actualisée tous les jours, elle regroupe environ 30 millions d'établissements en activité ou non. </p><h3><b>IMPORTANT</b></h3><p>La base Sirene contenant des données à caractère personnel, l'Insee attire votre attention sur les obligations légales qui en découlent :</p><ul><li>Le traitement de ces données relève des obligations de déclaration de la Loi 78-17 du 6 janvier 1978 modifiée, dite Loi CNIL : <a href=""https://www.cnil.fr/fr/loi-78-17-du-6-janvier-1978-modifiee"" target=""_blank"">https://www.cnil.fr/fr/loi-78-17-du-6-janvier-1978-modifiee</a></li><li>Selon votre usage du jeu de données, il est de votre responsabilité de tenir compte du statut de diffusion le plus récent de chaque personne physique.</li></ul><p>En effet, l'article A123-96 du code de commerce dispose que :</p><blockquote><p>""Toute personne physique peut demander soit directement lors de ses formalités de création ou de modification, soit par lettre adressée au directeur général de l'Institut national de la statistique et des études économiques, que les informations du répertoire la concernant ne puissent être utilisées par des tiers autres que les organismes habilités au titre de l'article R. 123-224 ou les administrations, à des fins de prospection, notamment commerciale.""</p></blockquote><h3><b>SIRENE BY ODS</b></h3><p>ODS présente une base des établissements consolidée avec les données de son unité légale associée.</p><h4><b>Enrichissements</b></h4><ul><li>ajout des libellés des codes NAF et catégories juridiques;</li><li>ajout des libellés tranches légales et des types de voie;</li><li>ajout des hierarchies administratives (reg/arr/dep/epci);</li><li>ajout de la géolocalisation des établissements via un géocodage BAN;</li><li>changement de certaines abréviations (F/M, O/N, A/C) par le libellé correspondant (sexeunitelegale, etatadministratifunitelegale, caractereemployeurunitelegale, etatadministratifetablissement, etablissementsiege, caractereemployeuretablissement)</li><li>ajout d'un champ ""première ligne d'adressage"" avec la civilité + nom prénom personne de l'unité legale</li><li>ajout d'un champ adresse établissement (concaténation num + type + voie)</li></ul><h4><b>Notes</b></h4><ul><li>les valeurs de ""date de début de l’établissement"" ont été reconstruites à partir d’une ancienne version pour une centaine d’enregistrements dont les valeurs étaient incohérentes.<br/></li></ul><p></p>"
