,id,url,title,description,theme,publisher
0,healthy-life-expectancy-at-birth-2009-to-2015@bristol,https://data.opendatasoft.com/explore/dataset/healthy-life-expectancy-at-birth-2009-to-2015@bristol/information/,Healthy life expectancy at birth 2009 to 2015,"<p>Healthy life expectancy at birth for Bristol, Bath and North East Somerset, South Gloucestershire, and North Somerset. Healthy life expectancy is defined as the average number of years a person would expect to live in good health based on contemporary mortality rates and prevalence of self-reported good health. </p>",['Health & Social Care'],Public Health England
1,population-estimates-2011-2020-by-five-year-age-band-and-sex-bristol@bristol,https://data.opendatasoft.com/explore/dataset/population-estimates-2011-2020-by-five-year-age-band-and-sex-bristol@bristol/information/,Population Estimates 2011-2020 by five year age band and sex (Bristol),"<p>The estimated resident population of an area includes all those people who usually live there, including students at their term time address.
<p>Arriving international migrants are included if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year.</p></p>",['Population'],Bristol City Council Strategic Intelligence
2,population-estimates-mid-2020-by-five-year-age-band-and-sex-2016-ward@bristol,https://data.opendatasoft.com/explore/dataset/population-estimates-mid-2020-by-five-year-age-band-and-sex-2016-ward@bristol/information/,Population Estimates Mid-2020 by Five Year Age Band and Sex (by Ward),"<p>The estimated resident population of an area includes all those people who usually live there, including students at their term time address.<p>Arriving international migrants are included if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year.</p></p>",['Population'],Bristol City Council Strategic Intelligence
3,poblacion-referencia@jcyl,https://data.opendatasoft.com/explore/dataset/poblacion-referencia@jcyl/information/,Población de referencia,"<p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'>Ciudadanos con derecho a la asistencia sanitaria en el Servicio de Salud de Castilla y León, con residencia habitual en esta Comunidad Autónoma. Cada registro representa una Tarjeta Sanitaria Individual.</p><p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'>La información se presenta agrupada en columnas: Periodo, Provincia, Área, Ámbito de procedencia, Zona Básica de Salud (Código), Zona Básica de Salud, Sexo, Edad</p><p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'>• Frecuencia de actualización: Anual.</p><p style='margin-bottom: 8px; overflow-wrap: break-word; text-overflow: ellipsis; color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif;'><a href=""https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/poblacion-referencia/1285114749493"" target=""_blank"">Datos descargables</a></p>",['Health'],Junta de Castilla y León
4,sirene-v3-consolidee-france@cc-lacqorthez-data64,https://data.opendatasoft.com/explore/dataset/sirene-v3-consolidee-france@cc-lacqorthez-data64/information/,SIRENE V3 consolidée - France,"<p>Retrouvez toutes les entreprises et leurs établissements. La base Sirene® est actualisée tous les jours, elle regroupe environ 30 millions d'établissements en activité ou non. </p><h3><b>IMPORTANT</b></h3><p>La base Sirene contenant des données à caractère personnel, l'Insee attire votre attention sur les obligations légales qui en découlent :</p><ul><li>Le traitement de ces données relève des obligations de déclaration de la Loi 78-17 du 6 janvier 1978 modifiée, dite Loi CNIL : <a href=""https://www.cnil.fr/fr/loi-78-17-du-6-janvier-1978-modifiee"" target=""_blank"">https://www.cnil.fr/fr/loi-78-17-du-6-janvier-1978-modifiee</a></li><li>Selon votre usage du jeu de données, il est de votre responsabilité de tenir compte du statut de diffusion le plus récent de chaque personne physique.</li></ul><p>En effet, l'article A123-96 du code de commerce dispose que :</p><blockquote><p>""Toute personne physique peut demander soit directement lors de ses formalités de création ou de modification, soit par lettre adressée au directeur général de l'Institut national de la statistique et des études économiques, que les informations du répertoire la concernant ne puissent être utilisées par des tiers autres que les organismes habilités au titre de l'article R. 123-224 ou les administrations, à des fins de prospection, notamment commerciale.""</p></blockquote><h3><b>SIRENE BY ODS</b></h3><p>ODS présente une base des établissements consolidée avec les données de son unité légale associée.</p><h4><b>Enrichissements</b></h4><ul><li>ajout des libellés des codes NAF et catégories juridiques;</li><li>ajout des libellés tranches légales et des types de voie;</li><li>ajout des hierarchies administratives (reg/arr/dep/epci);</li><li>ajout de la géolocalisation des établissements via un géocodage BAN;</li><li>changement de certaines abréviations (F/M, O/N, A/C) par le libellé correspondant (sexeunitelegale, etatadministratifunitelegale, caractereemployeurunitelegale, etatadministratifetablissement, etablissementsiege, caractereemployeuretablissement)</li><li>ajout d'un champ ""première ligne d'adressage"" avec la civilité + nom prénom personne de l'unité legale</li><li>ajout d'un champ adresse établissement (concaténation num + type + voie)</li></ul><h4><b>Notes</b></h4><ul><li>les valeurs de ""date de début de l’établissement"" ont été reconstruites à partir d’une ancienne version pour une centaine d’enregistrements dont les valeurs étaient incohérentes.<br/></li></ul><p></p>",['Économie'],INSEE
5,donnees-urgences-hospitalieres-sos-medecins-relatives-a-lepidemie-de-covid-19-en@lafibre64-data64,https://data.opendatasoft.com/explore/dataset/donnees-urgences-hospitalieres-sos-medecins-relatives-a-lepidemie-de-covid-19-en@lafibre64-data64/information/,Données urgences hospitalières - SOS Médécins relatives à l'épidémie de COVID-19 dans les Pyrénées-Atlantiques,"<p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style='color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'>Santé publique France a pour mission d'améliorer et de protéger la santé des populations. Durant la crise sanitaire liée à l'épidémie du COVID-19, Santé publique France se charge de surveiller et comprendre la dynamique de l'épidémie, d'anticiper les différents scénarii et de mettre en place des actions pour prévenir et limiter la transmission de ce virus sur le territoire national.     </span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><font face=""Helvetica Neue, Helvetica, Arial, sans-serif""><span style=""caret-color: rgb(51, 51, 51); font-size: 14px;"">Les données sont à l'échelles départements sur la France métropolitaine et les départements d'outre-mer.</span></font></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style='color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'>Ce jeu de données présentent les données suivantes:</span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px; font-weight: 700;"">Les données quotidiennes de SOS médecins et des urgences hospitalières par département, sexe et tranche d'âge du patient</span><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""> : nombre de passages aux urgences pour suspicion de COVID-19, nombre total de passages aux urgences, nombre d'hospitalisations parmi les passages aux urgences pour suspicion de COVID-19, nombres total d'actes médicaux SOS Médecins pour suspicion de COVID-19, nombres d'actes médicaux SOS Médecins.</span></p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'>À noter que :</p><ul style='margin-top: 0px; margin-bottom: 10px; caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'><li>Le système de déclaration des cas n'est pas exhaustif et le nombre d'établissements déclarant varie au cours du temps ;</li><li>Certains patients, présents dans la base de données hospitalières à un moment donné, sont retirés de la base de données par les établissements de santé lorsque le résultat biologique du patient est négatif par rapport au COVID-19 ; </li><li>Pour certains patients, la classe d'âge n'a pas été identifiée dans la base de données. Ce qui peut induire un décalage entre la somme de toutes les classes d'âge d'un indicateur et le nombre total de cet indicateur ; </li><li>Pour certains patients, le sexe n'a pas été identifié dans la base de données. Ce qui peut induire un décalage entre la somme H/F d'un indicateur et le nombre total de cet indicateur.</li></ul><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""><b>Enrichissement</b></span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;"">les codes iso-3166 et les localisations géographiques ont été rajoutées.</span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""><br></span><span style=""color: rgb(51, 51, 51); font-weight: 700; font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;"">Attention : données en cours de constitution. Peut comporter des anomalies.</span></p>",['Santé'],Santé Publique France
6,donnees-hospitalieres-relatives-a-lepidemie-de-covid-19-en-france0@lafibre64-data64,https://data.opendatasoft.com/explore/dataset/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19-en-france0@lafibre64-data64/information/,Données hospitalières relatives à l'épidémie de COVID-19 dans les Pyrénées-Atlantiques,"<p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style='color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 14px;'>Santé publique France a pour mission d'améliorer et de protéger la santé des populations. Durant la crise sanitaire liée à l'épidémie du COVID-19, Santé publique France se charge de surveiller et comprendre la dynamique de l'épidémie, d'anticiper les différents scénarii et de mettre en place des actions pour prévenir et limiter la transmission de ce virus sur le territoire national.     </span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px; font-weight: 700;"">Les données hospitalières quotidiennes relatives à l'épidémie du COVID-19 par département et sexe du patient</span><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""> : nombre de patients hospitalisés, nombre de personnes actuellement en réanimation ou soins intensifs, nombre cumulé de personnes retournées à domicile, nombre cumulé de personnes décédées.</span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'>Pour certains patients, le sexe n'a pas été identifié dans la base de données. Ce qui peut induire un décalage entre la somme H/F d'un indicateur et le nombre total de cet indicateur.<span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;""><br></span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""font-family: inherit; caret-color: rgb(51, 51, 51); font-size: 14px;"">Les code régions et iso 3166-1 des zones ont été rajoutés.<br></span><br></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><span style=""color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); font-size: 14px; font-weight: bold;"">Attention : données en cours de constitution. Peut comporter des anomalies ou des donnés manquantes.</span></p>",['Santé'],Santé Publique France
7,caracteristiques-des-adherents-a-la-mediatheque-la-grand-plage-depuis-2017@ville-de-roubaix,https://data.opendatasoft.com/explore/dataset/caracteristiques-des-adherents-a-la-mediatheque-la-grand-plage-depuis-2017@ville-de-roubaix/information/,Caractéristiques des adhérents de la médiathèque La Grand Plage depuis 2017,"<p><span style=""color: rgb(51, 51, 51);"">Informations et pratiques des adhérents de la médiathèque La Grand Plage de Roubaix depuis 2017. </span><br></p>","['Sport, Loisirs', 'Culture, Patrimoine']",Ville de Roubaix
8,fonds-de-participation-des-habitants-fph-2010-2014@ville-de-roubaix,https://data.opendatasoft.com/explore/dataset/fonds-de-participation-des-habitants-fph-2010-2014@ville-de-roubaix/information/,Fonds de Participation des Habitants (FPH) de Roubaix,"<p>Les Fonds de participation des habitants (FPH) sont issus de la volonté d’associations et d’habitants du Nord – Pas de Calais de recourir à des modalités de financement souples et rapides pour permettre la réalisation de micro-projets dans les quartiers prioritaires de la Politique de la ville.</p>

<p>Institutionnalisés avec le Contrat de plan État – Région 1989-1994, les FPH ont été intégrés aux politiques contractuelles régionales cofinancées par la Ville de Roubaix sur son territoire depuis 1994 avec pour objectifs de :</p>

<ul>
	<li>favoriser les prises d’initiatives de groupes d’habitants, constitués ou non en association ;</li>
	<li>renforcer les échanges entre habitants ;</li>
	<li>promouvoir les capacités individuelles et collectives des habitants à s’organiser, monter des projets et les argumenter ;</li>
	<li>favoriser la réalisation de projets ponctuels d’habitants ayant un impact sur le quartier, et non finançables par les procédures existant par ailleurs ;</li>
	<li>développer l’animation et la solidarité ;</li>
	<li>améliorer le cadre de vie ;</li>
	<li>permettre une meilleure appropriation par la population des valeurs citoyennes.</li>
</ul>

<p>La distinction entre les FPH réservés aux associations et ceux réservés aux habitants a été abandonnée à l’échelle régionale dans le cadres des Contrats urbains de cohésion sociale 2007-2014. Fusionnés, les FPH sont devenus le FPH.</p>

<p>Localement recentré sur cinq Comités d’attribution composés d’habitants bénévoles fonctionnant chacun à l’échelle des mairies de quartiers, le dispositif renouvelé a été expérimenté fin 2009 puis confirmé à partir de 2010 avec succès.</p>

<p>Animé auprès de la population par la Ville de Roubaix, le FPH a été régi par une association dédiée, responsable devant les financeurs institutionnels, les bénévoles et les habitants de sa gestion financière et administrative.</p>

<p>Reconduit dans le cadre des Contrats de ville 2015-2022, le FPH a cédé la place au <a href=""https://opendata.roubaix.fr/explore/dataset/pic_contrat_ville/information/"" target=""_blank"">Projet d’initiative citoyenne (PIC)</a> en 2017.</p>","['Administration, Gouvernement, Finances publiques, Citoyenneté']",Ville de Roubaix
9,les-prets-a-la-grand-plage-en-decembre-2017@ville-de-roubaix,https://data.opendatasoft.com/explore/dataset/les-prets-a-la-grand-plage-en-decembre-2017@ville-de-roubaix/information/,Les prêts à La Grand Plage en décembre 2017,"<p>Historique et caractéristiques des prêts effectués à la bibliothèque en décembre 2017. Ce jeu de données vous permets d'identifier le type d'ouvrage emprunté de manière récurrente, leur temporalité d'acquisition et énormément d'informations complémentaires</p>","['Sport, Loisirs', 'Culture, Patrimoine']",Ville de Roubaix
